set,rng,tgt,stop,net_tr,pf_tr,dd_tr,net_ho,pf_ho,dd_ho,sh_ho,net_all,rdd_all,dd_all,sh_all,both
7h,30,4.0,1.0,4856.3790000001145,1.1629082939478965,-1177.742999999984,10601.936999999984,1.4647535877353417,-569.1679999999878,4.760313286351896,15458.316000000097,13.125372852991106,-1177.742999999984,2.713576749265704,True
7h,30,4.0,1.5,5577.36200000013,1.1482263281082086,-1994.108499999984,10465.345999999998,1.3576457048786084,-819.8909999999937,4.087333078958091,16042.708000000128,8.045052714032488,-1994.108499999984,2.3956958204797196,True
7h,30,4.0,2.0,5758.846000000114,1.1346143174464898,-1832.5709999999926,11819.533999999989,1.360156151825393,-680.9379999999801,4.437360323870026,17578.380000000103,9.59219588217874,-1832.5709999999926,2.51137452987185,True
7h,30,5.0,1.0,6296.459000000083,1.208139973845565,-1153.9489999999932,10083.437000000005,1.4323936593759563,-613.8410000000035,4.388676198771883,16379.896000000088,14.194644650673627,-1153.9489999999932,2.7219286526449755,True
7h,30,5.0,1.5,7214.63350000008,1.1876373012723505,-2121.5934999999863,10329.605000000038,1.3439370322772797,-1004.6359999999781,3.862156759295856,17544.238500000116,8.269368519464368,-2121.5934999999863,2.446571834418948,True
7h,30,5.0,2.0,7274.519000000099,1.1657929918827883,-1884.7959999999784,12635.001000000037,1.3779760111642783,-642.1719999999805,4.521445249062248,19909.520000000135,10.563222757264107,-1884.7959999999784,2.646672534659629,True
7h,30,99.0,1.0,6483.391999999999,1.207885452454104,-2144.240999999979,9966.989000000056,1.4176716408353525,-724.4020000000019,3.2606281050521306,16450.381000000056,7.671889960130514,-2144.240999999979,2.046928135310955,True
7h,30,99.0,1.5,7666.551500000027,1.1918477815129584,-3176.035499999978,10801.955000000093,1.3489119068057038,-977.9039999999968,2.9807275071452586,18468.50650000012,5.8149559411411635,-3176.035499999978,1.8967050535791858,True
7h,30,99.0,2.0,7895.399000000036,1.1723589132397385,-2890.911999999971,13651.495000000104,1.3946978597835775,-913.5100000000075,3.5820621579069334,21546.89400000014,7.453320613010825,-2890.911999999971,2.0993655207229507,True
7h,60,1.0,1.0,2150.941999999965,1.0806777897245297,-725.3569999999934,2485.6720000000128,1.1188852695679847,-1123.2759999999926,1.795521577935225,4636.613999999978,4.127760229898978,-1123.275999999993,1.328600886323441,True
7h,60,1.0,1.5,1423.0674999999956,1.0459694661255103,-1087.2835000000234,1635.8204999999887,1.065763739189778,-1332.9299999999782,0.9617656300227632,3058.8879999999845,2.2948601952090737,-1332.9299999999787,0.7253422252214898,True
7h,60,1.0,2.0,702.2239999999799,1.0208585572306477,-1495.9800000000232,2293.1679999999797,1.0873307087039974,-1575.5189999999836,1.3544692400681884,2995.39199999996,1.901209696614251,-1575.518999999984,0.695700583326245,True
